POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,POLYMER_PSMILES,DRUG_SMILES
chitosan/Ag2O NPs composite,Tetracycline,NaN,40,1.725857,Majeed & Naser 2025,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
chitosan/Ag2O NPs composite,Tetracycline,NaN,50,2.446262,Majeed & Naser 2025,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
chitosan,Reactive Orange 122,4,100,9.95,10.1007/s13399-024-05284-z,,
thiourea formaldehyde calcium alginate,Reactive Black 5,1,NaN,0.2,Canadian Journal of Chemistry cjc-2017-0767.R1,,
polyaniline,methylene blue,NaN,NaN,24.813,10.1038/s41598-023-38511-0,,
polyaniline,reactive orange 16,NaN,NaN,23.981,10.1038/s41598-023-38511-0,,
Poly(4-vinyl pyridine-co-2-hydroxyethyl methacrylate) imprinted polymer,Cr(VI),NaN,NaN,172,99,,
Carboxymethylcellulose-ethylenediamine imprinted polymer,Cr(VI),NaN,NaN,177.62,54,,
Chitosan/aluminum-lanthanum mixed oxyhydroxide (CSALMOH),Cr(VI),NaN,NaN,78.90,15,,
Trimesic acid-cross-linked chitosan,Cr(VI),NaN,336.63,129.53,58,,
Ionic liquid impregnated phosphate chitosan,Cr(VI),NaN,NaN,266.67,16,,
cellulose nanocrystal-reinforced keratin,Reactive Black 5,3,200,1201,143,,
cellulose nanocrystal-reinforced keratin,Direct Red 80,3,200,1070,143,,
carbohydrate polymeric biodegradable adsorbent of wheat flour,Rhodamine B,5.5,5.0,142.26,145,,
wood-based colloidal cellulose nanocrystals,Auramine O,NaN,NaN,20,152,,
arginine-modified starch resin,Acid fuchsin,NaN,0.25,21.326,154,,
arginine-modified starch resin,Acid Orange G,NaN,0.25,23.485,154,,
La/PVA/Alg/Pal beads,phosphate,4,NaN,33.2,95,,
Mg–Al LDH–Alg/PVA beads,phosphate,5.7,NaN,1.9,116,,
LDH–PVA/Alg beads,phosphate,4.9,NaN,0.4,113,,
Chitosan-olive pomace,tetracycline,2-12,NaN,16,63,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
"""CDF (chitosan","diphenylurea and formaldehyde)@MF""",tetracycline,2-10,NaN,168.24,,
NDMCMs (nitrilotriacetic acid-modified magnetic chitosan microspheres),tetracycline,2-10,NaN,373.5,66,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Zn-CSNW (chitosan nonwoven fabric),tetracycline,3-10,NaN,195.9,67,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Halloysite/chitosan,tetracycline,2.8-8.5,NaN,19.4,68,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
LCBW (leached carbon black waste)-chitosan,tetracycline,7.5-8.5,NaN,205,69,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Chitosan-based hydrogel,tetracycline,2-10,NaN,541.3,70,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
EMMCS-G (ethylenediamine-modified magnetic chitosan),tetracycline,3-11,NaN,84,58,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
chitosan,tannic acid,NaN,NaN,68,80,,
chitosan,humic acid,NaN,NaN,112.07,82,,
polyaniline,humic acid,NaN,NaN,61.35,83,,
Chitosan aerogel (3D interconnected porous),Cu(II),NaN,NaN,116.7,76,,
Pineapple leaves and chitosan composite aerogel,Cr(VI),3,NaN,211.4,77,,
Chitosan and waste office paper aerogel,Cu(II),NaN,NaN,156.3,78,,
EDTA-modified chitosan,Cu(II),5,NaN,108.14,79,,
EDTA-modified chitosan,Pb(II),5,NaN,143.73,79,,[Pb+2]
EDTA-modified chitosan,Cd(II),5,NaN,84.62,79,,[Cd+2]
Cross-linked chitosan aerogel,Cu(II),NaN,NaN,21.38,81,,
CS coated PCL/n-HA,S. aureus,NaN,3e5,98,105,,
poly(acrylamide/sodium acrylate) hydrogel (G8),Cr(III),NaN,500,206.3,Effect of initial concentration,,
poly(acrylamide/sodium acrylate) hydrogel (G8),Cr(III),NaN,NaN,200.5,Adsorption isotherms,,
poly(acrylamide/sodium acrylate) hydrogel (1.5:0.6 M AAm:SA,2.1 M total),Cr(III),NaN,NaN,2,,
PEI-PVA,Cr(VI),2,NaN,396.83,10.1039/c9ra06595d,,
Modified carbon aerogels,Nitrate,7,60,17.92,53,,
Modified chitosan microspheres,Nitrate,3,100,32.15,25,,
Chitosan-BN-Fe2O3,Congo Red,7,50,24.89,10.18185/erzifbed.1180213,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan-BN-Fe2O3,Congo Red,7,100,49.52,10.18185/erzifbed.1180213,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan-BN-Fe2O3,Congo Red,7,150,70.6,10.18185/erzifbed.1180213,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan-BN-Fe2O3,Congo Red,7,200,85,10.18185/erzifbed.1180213,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan-BN-Fe2O3,Congo Red,7,NaN,86.95,10.18185/erzifbed.1180213,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
polystyrene sulfonate,diclofenac,NaN,50.0,45.6,http://dx.doi.org/10.12944/CRNFSJ.13.3.24,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
polystyrene sulfonate,atrazine,NaN,30.0,48.3,http://dx.doi.org/10.12944/CRNFSJ.13.3.24,,
Alginate/basil seeds,Eriochrome Black T,2,20,9.52,[45],,
chitosan,Eriochrome Black T,NaN,50,4.25,Removal of Eriochrome Black T from water using a chitosan/zeolite composite: a kinetic study,,
Cr(III)-PVA/SA membrane,Cr(III),NaN,NaN,59.9,Chen et al. 2010,,
chitosan/hydroxyapatite/nanomagnetic composite,Zn,NaN,NaN,50.39,[37],,
chitosan/hydroxyapatite/nanomagnetic composite,Cu,NaN,NaN,74.77,[37],,
permutite with chitosan,Zn,NaN,NaN,58.8,[38],,
permutite with chitosan,Cu,NaN,NaN,50.2,[38],,
chitosan macro-particles,Zn,NaN,10,90.80,[39],,
chitosan nano-particles,Zn,NaN,10,99.10,[39],,
sodium alginate,Cr(VI),2,100,40.64,10.1007/s13399-025-06489-6,,
sodium alginate,Cr(VI),2,NaN,370.4,10.1007/s13399-025-06489-6,,
keratin/polyacrylic acid hydrogel (keratin-PAA),Pb,NaN,NaN,234.6,[171],,
cellulose/diatomite bead hydrogel modified with maleic anhydride,Pb,NaN,NaN,44,[170],,
chitosan-based fluorescent hydrogel (NH2-BODIPY),Hg,NaN,NaN,121,[215],,
modified chitosan (Schiff base ligand from acid-4-amino-3-hydroxybenzoic acid and 2-pyridinecarboxaldehyde,crosslinked with glutaraldehyde),Hg,NaN,NaN,315,,
Ulva lactuca/chitosan composite,Hg,NaN,NaN,189.144,NaN,,
chitosan magnetic microparticles with ethylenediamine-modified yeast biomass (20°C),Pb,NaN,NaN,121.26,[206],,
chitosan magnetic microparticles with ethylenediamine-modified yeast biomass (30°C),Pb,NaN,NaN,127.37,[206],,
chitosan magnetic microparticles with ethylenediamine-modified yeast biomass (40°C),Pb,NaN,NaN,134.90,[206],,
AAFs-g-PDA+Poly(AAc),methylene blue,9,10,26.79,Textile & Leather Review,,
AAFs-g-PDA+Poly(AAc),methylene blue,9,20,51.18,Textile & Leather Review,,
AAFs-g-PDA+Poly(AAc),methylene blue,9,30,74.49,Textile & Leather Review,,
GAD hydrogel beads,Mn(II),6,10,2.07,10.1038/s41598-018-29133-y,,
GAD hydrogel beads,Mn(II),6,50,8.47,10.1038/s41598-018-29133-y,,
GAD hydrogel beads,Mn(II),6,125,19.81,10.1038/s41598-018-29133-y,,
GAD hydrogel beads,Mn(II),9,NaN,28.49,10.1038/s41598-018-29133-y,,
GAD hydrogel beads,Mn(II),6,NaN,56.49,10.1038/s41598-018-29133-y,,
GAD hydrogel beads,Mn(II),6,200,18.11,10.1038/s41598-018-29133-y,,
Poly(vinyl alcohol)/Chitosan,Pb(II),NaN,NaN,266.12,[50],,[Pb+2]
Poly(vinyl alcohol)/Chitosan,Cd(II),NaN,NaN,148.79,[50],,[Cd+2]
pectin/γ-Fe2O3/gl,Pb(II),NaN,NaN,470,[51],,[Pb+2]
pectin/γ-Fe2O3/gl,Cd(II),NaN,NaN,325,[51],,[Cd+2]
PET,Brilliant Green,7,7.5,1.89,RSC Adv.,,
PET,Brilliant Green,NaN,3,0.55,RSC Adv.,,
PET,Brilliant Green,NaN,30,1.70,RSC Adv.,,
Aerogel (no biopolymer),Pb²⁺,5-6,,406,[21],,
Aerogel (no biopolymer),Cd²⁺,5-6,,274,[21],,
Aerogel (no biopolymer),Cu²⁺,5-6,,97,[21],,
Aerogel (no biopolymer),Zn²⁺,5-6,,68,[21],,
MnFe2O4/Chitosan Nanoadsorbent,Cu(II),4.5,NaN,14.86,83,,
MnFe2O4/Chitosan Nanoadsorbent,Pb(II),4.5,NaN,15.36,83,,[Pb+2]
Vinyl-modified aerogel,ciprofloxacin,6,100,62.7,this study,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Epoxide-modified aerogel,ciprofloxacin,6,100,45.8,this study,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Methacrylate-modified aerogel,ciprofloxacin,6,100,47.8,this study,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Vinyl modified aerogel,fluoroquinolone,NaN,NaN,66.1,this study,,
PSS-chitosan membrane,phenol,8,1.0,3.97,[30],,
Polyactic acid (PLA-MPs),phenol,NaN,NaN,22.3,[36],,
AL:PVA nanofibres,fluoxetine,NaN,50,78.24,"""Camiré et al.",,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
AL:PVA nanofibres,fluoxetine,NaN,12.5,22.85,"""Camiré et al.",,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
AL:PVA nanofibres,venlafaxine,NaN,50,49.76,"""Camiré et al.",,
AL:PVA nanofibres,venlafaxine,NaN,12.5,11.05,"""Camiré et al.",,
AL:PVA nanofibres,carbamazepine,NaN,50,8.04,"""Camiré et al.",,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
AL:PVA nanofibres,carbamazepine,NaN,12.5,1.02,"""Camiré et al.",,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
AL:PVA nanofibres,ibuprofen,NaN,50,5.00,"""Camiré et al.",,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
AL:PVA nanofibres,ibuprofen,NaN,12.5,0.62,"""Camiré et al.",,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
chitosan-vanillin,Co(II),4,0.232,0.767,Global NEST Journal,,
chitosan-vanillin,Co(II),4,1.225,1.774,Global NEST Journal,,
chitosan-vanillin,Co(II),4,2.246,2.753,Global NEST Journal,,
chitosan-vanillin,Co(II),4,5.658,4.342,Global NEST Journal,,
chitosan-vanillin,Co(II),4,10.168,4.831,Global NEST Journal,,
chitosan-ortho-vanillin,Co(II),4,0.340,0.659,Global NEST Journal,,
chitosan-ortho-vanillin,Co(II),4,1.358,1.642,Global NEST Journal,,
chitosan-ortho-vanillin,Co(II),4,2.283,2.716,Global NEST Journal,,
chitosan-ortho-vanillin,Co(II),4,5.688,4.312,Global NEST Journal,,
chitosan-ortho-vanillin,Co(II),4,9.630,5.369,Global NEST Journal,,
chitosan-vanillin,Co(II),4,NaN,5.899,Global NEST Journal,,
chitosan-ortho-vanillin,Co(II),4,NaN,7.651,Global NEST Journal,,
poly(m-aminobenzoic acid),Pt(IV),4,NaN,2362,Öztürk et al. 2020 SN Applied Sciences,,
poly(m-aminobenzoic acid),Pt(IV),4,10,0.893,Öztürk et al. 2020 SN Applied Sciences,,
poly(m-aminobenzoic acid),Pt(IV),4,15,1.157,Öztürk et al. 2020 SN Applied Sciences,,
poly(m-aminobenzoic acid),Pt(IV),4,20,1.417,Öztürk et al. 2020 SN Applied Sciences,,
poly(m-aminobenzoic acid),Pt(IV),4,30,1.928,Öztürk et al. 2020 SN Applied Sciences,,
poly(m-aminobenzoic acid),Pt(IV),4,40,2.082,Öztürk et al. 2020 SN Applied Sciences,,
Cross-linked chitosan diepoxyoctane beads (CS-DEO),Cr (VI),2,500,325.2,Vakili et al. (2018),,
Arginine cross-linked chitosan-carboxymethyl cellulose beads (CS-ag-CM),Pb (II),6.5,325,182.5,Manzoor et al. (2019),,
Arginine cross-linked chitosan-carboxymethyl cellulose beads (CS-ag-CM),Cd (II),NaN,300,168.5,Manzoor et al. (2019),,
sulfate-crosslinked chitosan (SCC),Cr (VI),6,50,156.85,Kahu et al. (2014),,
sulphate cross-linked chitosan (SCC),Zn (II),5,50,21.276,Jeyaseelan et al. (2021),,
Sodium tripolyphosphate crosslinked chitosan,Ni (II),6.5,50,52.24,Babakhani and Sartaj (2021),,
Sodium tripolyphosphate crosslinked chitosan,Cd (II),NaN,22.5,68.57,Babakhani and Sartaj (2021),,
Chitosan-pectin gel beads,Cu (II),7,400,169.4,Shao et al. (2021),,
Chitosan-pectin gel beads,Cd (II),NaN,350,177.6,Shao et al. (2021),,
Chitosan-pectin gel beads,Hg (II),NaN,500,208.5,Shao et al. (2021),,
Chitosan-pectin gel beads,Pb (II),NaN,150,266.5,Shao et al. (2021),,
5-HMF grafted chitosan (CS-HMF),Cu (II),5,100,133,Mone et al. (2020),,
5-HMF grafted chitosan (CS-HMF),Cd (II),NaN,NaN,125,Mone et al. (2020),,
EDTA grafted chitosan,Co (II),7,40,61,Zhuang et al. (2021),,
EDTA grafted chitosan,Sr (II),3,NaN,8.8,Zhuang et al. (2021),,
Poly (N-vinyl imidazole) grafted chitosan,Hg (II),6,300,112.35,Labidi et al. (2019),,
Methyl acrylate and tetraethylenepentamine grafted chitosan (MCS-MA-TEPA),Cd (II),5,250,251.22,Zhang et al. (2019a),,
Polyacrylic acid grafted chitosan (MCS–PAA),Pb (II),6,100,204.89,Hu et al. (2020),,
2-Hydroxyethyl methacrylate (HEMA) and 4-Sodium Styrene Sulphonate (SSS) grafted chitosan,As (V),3-4,60,16.8,Vijayasri and Tiwari (2021),,
Lignosulfonate grafted chitosan,Cu (II),6,100,283,Mu et al. (2020),,
Lignosulfonate grafted chitosan,Co (II),NaN,NaN,386,Mu et al. (2020),,
Benzothiazole functionalized chitosan,Cu (II),6,200,1439.7,Gamal et al. (2021),,
Tripolyphosphate crosslinked and salicyldehyde grafted chitosan,Pb (II),7,100,123.67,Hussain et al. (2020),,
Tripolyphosphate crosslinked and salicyldehyde grafted chitosan,Cu (II),NaN,NaN,84.6,Hussain et al. (2020),,
Tripolyphosphate crosslinked and salicyldehyde grafted chitosan,Cd (II),NaN,NaN,63.71,Hussain et al. (2020),,
Glutaraldehyde cross-linked chitosan grafted with 8-hydroxyquinoline-2-carbaldehyde (Ch-GA-HQC),Pd (II),3,25,340.3,Mincke et al. (2019),,
Glutaraldehyde cross-linked chitosan grafted with 8-hydroxyquinoline-2-carbaldehyde (Ch-GA-HQC),Pt (IV),NaN,NaN,203.9,Mincke et al. (2019),,
Crosslinked chitosan grafted with methyl methacrylate (M-CTS),Cu (II),4,100,192.31,Sutirman et al. (2020),,
functionalized chitosan-based adsorbent (CS-PAR),Cu (II),5,600,170.23,Wang et al. (2022a),,
Ninhydrin-functionalized chitosan (CS-Ninhydrin),Pb (II),4,550,196,Chen et al. (2021),,
Melamine-grafted chitosan (GMCS),Pb (II),5,2072,618.2,Ge and Du (2020),,
Melamine-grafted chitosan (GMCS),Hg (II),6,2005.9,490.7,Ge and Du (2020),,
chitosan-glutaraldehyde,Direct Blue 71,4,15,125.89,Lopez-Cervantes et al. 2018,,
chitosan-glutaraldehyde,Direct Blue 71,4,30,209.81,Lopez-Cervantes et al. 2018,,
chitosan-glutaraldehyde,Direct Blue 71,4,50,343.59,Lopez-Cervantes et al. 2018,,
chitosan,ethoprophos,5.48,10,8.920,Abdeen and Mohammad 2014 OJOPM,,
chitosan,ethoprophos,5.48,20,19.607,Abdeen and Mohammad 2014 OJOPM,,
chitosan,ethoprophos,5.48,30,28.735,Abdeen and Mohammad 2014 OJOPM,,
chitosan,ethoprophos,5.48,40,39.370,Abdeen and Mohammad 2014 OJOPM,,
chitosan,ethoprophos,5.48,50,49.019,Abdeen and Mohammad 2014 OJOPM,,
chitosan,ethoprophos,5.48,60,54.945,Abdeen and Mohammad 2014 OJOPM,,
PMMA,Pb(II),9,NaN,99.0,10.1371/journal.pone.0245583,,[Pb+2]
original PET,Pb(II),5,100,12.92,10.21203/rs.3.rs-5671204/v1,,[Pb+2]
GMA-PET,Pb(II),5,100,13.16,10.21203/rs.3.rs-5671204/v1,,[Pb+2]
IDA/GMA-PET,Pb(II),5,100,13.77,10.21203/rs.3.rs-5671204/v1,,[Pb+2]
IDA-NaOH/GMA-PET,Pb(II),5,100,13.99,10.21203/rs.3.rs-5671204/v1,,[Pb+2]
IDA-NaOH-CS2/GMA-PET,Pb(II),5,100,20.22,10.21203/rs.3.rs-5671204/v1,,[Pb+2]
IDA-CS2/GMA-PET,Pb(II),5,100,19.08,10.21203/rs.3.rs-5671204/v1,,[Pb+2]
IDA-NaOH-CS2/GMA-PET,Pb(II),5,400,94.14,10.21203/rs.3.rs-5671204/v1,,[Pb+2]
cellulose,phenol,NaN,67.2,NaN,51,,
microcrystalline cellulose,methylene blue,NaN,NaN,NaN,50,,
cellulose whiskers,methyl orange,NaN,NaN,NaN,52,,
bacterial cellulose,methyl orange,NaN,NaN,NaN,82,,
Ca-alginate/PDA,brilliant green,5.7,8.9,3.4,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,5.7,7.0,6.69,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,5.7,14.6,13.5,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,5.74,14,12.18,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,5.7,7,6.3068,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,3,11,2.02,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,9,11,5.95,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,6,11,2.77,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,3,20,4.67,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,6,20,9.12,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,3,2,0.466,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,6,2,0.140,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,9,20,4.93,10.1039/d5ma01333j,,
Ca-alginate/PDA,brilliant green,9,2,0.496,10.1039/d5ma01333j,,
PANI,chlorpyrifos,3,200,10.4,Scientific Reports (2024) 14:21116,,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
PANI,chlorpyrifos,9,200,59.2,Scientific Reports (2024) 14:21116,,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
Psy-Ok-poly(AAm) semi-IPN,malachite green,7,10,62.38,10.21203/rs.3.rs-1978091/v1,,
Polyvinyl alcohol-carboxymethyl cellulose hydrogel,Methylene Blue,NaN,NaN,172.14,54,,
Magnetic starch-poly(vinyl alcohol) composite hydrogel,Methylene Blue,NaN,NaN,23.53,75,,
RCM chitosan microsphere,citric acid,NaN,NaN,77.014,Ref14,,
Copolymer A,methylene blue,NaN,NaN,19.346,10.30598//ijcr.2026.14-nat,,
Copolymer B,methylene blue,NaN,NaN,44.64,10.30598//ijcr.2026.14-nat,,
poly(MAA-co-AAm),methylene blue,8,NaN,21.92,https://doi.org/10.21203/rs.3.rs-1071501/v1,,
poly(MAA-co-AAm)/NCC,methylene blue,8,NaN,32.83,https://doi.org/10.21203/rs.3.rs-1071501/v1,,
poly(MAA-co-AAm),methylene blue,8,10,4.981,https://doi.org/10.21203/rs.3.rs-1071501/v1,,
poly(MAA-co-AAm)/NCC,methylene blue,8,10,6.635,https://doi.org/10.21203/rs.3.rs-1071501/v1,,
PAA hydrogel,Pb,6,NaN,9.77,10.1038/s41598-017-15642-9,,
MLDH-NH2@PANI,Cr(VI),3,NaN,420.0,Abstract,,
MLDH-NH2@PANI,Cr(VI),3,50,205.2,Kinetic experiment (Qe,,
chitosan,Malachite green,5.0,20,19.41,10.29081/ChIBA.2025.653,,
chitosan,Brilliant green,5.6,20,18.83,10.29081/ChIBA.2025.653,,
chitosan,Ethacridine lactate,7.0,40,38.83,10.29081/ChIBA.2025.653,,
Polylactide/spent grain,Malachite green,NaN,NaN,1.48,52,,
Pec-PVA/CS,Benzene,NaN,3.9,0.119,10.1039/C8RA02332H,,
Pec-PVA/CS,Toluene,NaN,8.3,0.164,10.1039/C8RA02332H,,
Pec-PVA/CS,Xylenes,NaN,13.0,0.129,10.1039/C8RA02332H,,
Pec-PVA/CS,Pyrene,NaN,0.49,0.026,10.1039/C8RA02332H,,
Pec-PVA/CS,B(b)F,NaN,0.11,0.007,10.1039/C8RA02332H,,
Pec-PVA/CS,B(a)P,NaN,0.33,0.025,10.1039/C8RA02332H,,
Av-cl-poly(AA-ipn-AAm),malachite green,4.5,,97.3,Abstract optimal conditions,,
Av-cl-poly(AA-ipn-AAm),malachite green,,10,97.1,Fig 8 dosage effect,,
Av-cl-poly(AA-ipn-AAm),malachite green,,,97.24,Fig 10 contact time,,
Av-cl-poly(AA-ipn-AAm),malachite green,,25,0.56,Table 4 pseudo-second qexp,,
Av-cl-poly(AA-ipn-AAm),malachite green,,50,0.87,Table 4 pseudo-second qexp,,
Av-cl-poly(AA-ipn-AAm),malachite green,,75,0.26,Table 4 pseudo-second qexp,,
PEG,Pb(II),7,NaN,76.3,10.5829/ije.2025.38.02b.07,,[Pb+2]
PEG,Pb(II),7,30,13.717,10.5829/ije.2025.38.02b.07,,[Pb+2]
PEG,Cu(II),7,NaN,45.0,10.5829/ije.2025.38.02b.07,,
PEG,Cu(II),7,30,37.175,10.5829/ije.2025.38.02b.07,,
bacterial cellulose,Li,11.0,NaN,35.45,10.21203/rs.3.rs-580568/v1,,
polyvinyl alcohol,Cu(II),7,0.2,1.44,10.21203/rs.3.rs-3236672/v1,,
polyvinyl alcohol,Cd(II),7,0.2,0.93,10.21203/rs.3.rs-3236672/v1,,[Cd+2]
polyvinyl alcohol,Cu(II),7,NaN,1.48,10.21203/rs.3.rs-3236672/v1,,
polyvinyl alcohol,Cd(II),7,NaN,0.84,10.21203/rs.3.rs-3236672/v1,,[Cd+2]
Cu-BTC/NFC aerogel composite,Congo Red,NaN,11,39,10.1038/s41598-021-97861-9,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Cu-BTC/CNC aerogel composite,Congo Red,NaN,NaN,43,10.1038/s41598-021-97861-9,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
CNC aerogel,Congo Red,NaN,NaN,0,10.1038/s41598-021-97861-9,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
MgFe2O4@Schiff base@chitosan,Pb(II),5.5,150,228.1,Table 1,,[Pb+2]
MgFe2O4@Schiff base@chitosan,Pb(II),5.5,NaN,290.7,Table 2,,[Pb+2]
Chitosan-polyvinyl alcohol/fly ash (m-Cs-PVA/FA),reactive orange 16,4.0,NaN,123.8,"""Malek et al.",,
quaternized magnetic chitosan,methyl orange,4,125,486.13,10.1039/d5ra02862k,,
magnetic chitosan,methyl orange,4,125,431.49,10.1039/d5ra02862k,,
quaternized magnetic chitosan,methyl orange,NaN,50,200.63,10.1039/d5ra02862k,,
quaternized magnetic chitosan,methyl orange,NaN,100,386.48,10.1039/d5ra02862k,,
quaternized magnetic chitosan,methyl orange,NaN,150,455.34,10.1039/d5ra02862k,,
quaternized magnetic chitosan,methyl orange,NaN,NaN,392.16,10.1039/d5ra02862k,,
alginate,quercetin,7,1000,140.37,Synthesis of Quercetin Loaded Nanoparticles Based on Alginate for Pb(II) Adsorption in Aqueous Solution,,
TEA-GMA-g-PAN,Mo(VI),3.5,70,53.02,Scientific Reports (2024) 14:252,,
TEA-GMA-g-PAN,Mo(VI),3.2,68.75,50.75,Scientific Reports (2024) 14:252,,
TEA-GMA-g-PAN,Mo(VI),NaN,50,22.09,Scientific Reports (2024) 14:252,,
TEA-GMA-g-PAN,Mo(VI),NaN,30,32.59,Scientific Reports (2024) 14:252,,
PVA,tetracycline,2,100,12.6,DOI:10.2478/eces-2021-0021,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
PVA,tetracycline,8,100,7.8,DOI:10.2478/eces-2021-0021,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
PVA,tetracycline,12,100,9.55,DOI:10.2478/eces-2021-0021,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
